case_id,hh_f11,hh_f11_oth,hh_f12,hh_f19,hh_f25,hh_f26a,hh_f26b,ea_lat_mod,ea_lon_mod,Air circulation,Air conditioner,Iron,Radio,Refrigerator,Television,Washing machine,Electricity,region,reside,hh_wgt,Number of household members,Wealth index factor score for urban/rural (5 decimals),Type of place of residence,Household sample weight (6 decimals),Energy Use
101021100041,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,3,131541.0,2.0,111249647,0.0
101021100051,ELECTRICITY,,COLLECTED FIREWOOD,YES,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,North,rural,111.249646977,4,401710.0,2.0,111249647,4.0
101021100108,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,3,-16991.0,2.0,111249647,0.0
101021100116,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,111.249646977,5,201838.0,2.0,111249647,4.3734482957731124
101021100140,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,111.249646977,7,300149.0,2.0,111249647,5.003515054281687
101021100168,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,5,251627.0,2.0,111249647,0.0
101021100179,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,2,-109588.0,2.0,111249647,0.0
101021100180,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,3,-109588.0,2.0,111249647,0.0
101021100190,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,4,131541.0,2.0,111249647,0.0
101021100225,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,5,4784.0,2.0,111249647,0.0
101021100229,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.59422016143799,33.3637504577637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,111.249646977,3,-109588.0,2.0,111249647,0.0
101031110017,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,196.1568837885,1,-16991.0,2.0,196156884,0.0
101031110057,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,196.1568837885,2,4784.0,2.0,196156884,0.0
101031110095,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,196.1568837885,2,4784.0,2.0,196156884,0.0
101031110104,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,North,rural,196.1568837885,4,274953.0,2.0,196156884,4.0
101031110168,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,196.1568837885,3,-16991.0,2.0,196156884,0.0
101031110177,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,196.1568837885,3,229852.0,2.0,196156884,0.0
101031110196,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63403987884521,33.534969329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,196.1568837885,3,229852.0,2.0,196156884,0.0
